Designator,Mid X,Mid Y,Layer,Rotation
C1,83.299mm,78.486mm,Top,0.0
C2,83.594mm,77.216mm,Top,0.0
C3,88.125mm,98.552mm,Top,0.0
C4,88.674mm,97.282mm,Top,0.0
C5,33.02mm,64.008mm,Top,0.0
C6,33.048mm,51.308mm,Top,0.0
C7,73.6575mm,70.866mm,Top,180.0
C8,31.370223mm,50.290052mm,Top,90.0
D1,83.545mm,74.422mm,Top,180.0
D2,90.701mm,97.282mm,Top,0.0
D3,92.708mm,78.486mm,Top,0.0
J2,93.218mm,74.422mm,Top,0.0
J3,98.554mm,10.064mm,Top,90.0
Q1,32.7787mm,69.596mm,Top,90.0
Q2,32.7787mm,76.962mm,Top,90.0
R1,92.712mm,11.842mm,Top,180.0
R2,92.71mm,8.794mm,Top,180.0
R3,35.814mm,24.386mm,Top,90.0
R4,35.814mm,26.924mm,Top,90.0
R5,35.814mm,18.542mm,Top,90.0
R6,35.80171mm,21.202144mm,Top,90.0
R7,83.568mm,75.438mm,Top,0.0
R8,41.593mm,67.31mm,Top,180.0
R9,90.701mm,98.298mm,Top,0.0
R10,92.71mm,77.47mm,Top,0.0
R11,41.593mm,74.676mm,Top,180.0
R12,24.13mm,39.624mm,Top,0.0
R13,26.668mm,39.624mm,Top,0.0
R15,36.068mm,82.298mm,Top,90.0
R16,36.068mm,84.834mm,Top,90.0
U1,91.5mm,88.0mm,Top,270.0
U2,31.496mm,25.781mm,Top,180.0
U3,31.496mm,20.066mm,Top,180.0
U4,25.527mm,43.942mm,Top,90.0
U5,31.028mm,57.6264mm,Top,90.0
U6,31.68015mm,83.693mm,Top,180.0
P480,96.637175mm,28.353554000000003mm,Top,270.0
U480,99.332175mm,20.028554mm,Top,180.0
R480,92.762175mm,19.303554000000002mm,Top,270.0
D480,95.462175mm,19.778554mm,Top,90.0
C482,96.98717500000001mm,19.928554000000002mm,Top,90.0
C481,93.937175mm,19.278554mm,Top,90.0
C480,93.412175mm,21.203554mm,Top,180.0
R428,65.407403mm,62.9665mm,Bottom,90.0
