Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF 10V","C_0603_1608Metric",83.299000,78.486000,0.000000,top
"C2","0.1uF 10V","C_0402_1005Metric",83.594000,77.216000,0.000000,top
"C3","4.7uF 10V","C_0603_1608Metric",88.125000,98.552000,0.000000,top
"C4","0.1uF 10V","C_0402_1005Metric",88.674000,97.282000,0.000000,top
"C5","10nF","C_0402_1005Metric",33.020000,64.008000,0.000000,top
"C6","10nF","C_0402_1005Metric",33.048000,51.308000,0.000000,top
"C7","100uF","C_Elec_6.3x5.8",73.657500,70.866000,180.000000,top
"C8","100nF","C_0603_1608Metric",31.370223,50.290052,90.000000,top
"D1","GREEN","LED_0402_1005Metric",83.545000,74.422000,180.000000,top
"D2","BLUE","LED_0402_1005Metric",90.701000,97.282000,0.000000,top
"D3","RED","LED_0402_1005Metric",92.708000,78.486000,0.000000,top
"J1","~","TE81PINHD",9.190000,69.500000,-90.000000,top
"J2","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",93.218000,74.422000,0.000000,top
"J3","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4110",98.554000,10.064000,90.000000,top
"M1","Module-stlink-0.1","stlink",90.962175,35.378554,-90.000000,top
"M2","Module-power_12and5V-0.2","power_12and5V",49.723003,57.712000,0.000000,top
"M3","Module-mega-mcu144-0.6","mega-mcu144",49.163000,53.791001,-90.000000,top
"M4","Module-vr-max9924-0.1","vr-max9924",30.625000,34.341000,0.000000,top
"M5","Module-knock-0.2","knock",36.877000,46.734998,0.000000,top
"M6","Module-knock-0.2","knock",36.623000,29.462998,0.000000,top
"Q1","ISL9V3040D3ST","TO-252AA_ONS",32.778700,69.596000,90.000000,top
"Q2","ISL9V3040D3ST","TO-252AA_ONS",32.778700,76.962000,90.000000,top
"R1","5.1K","R_0402_1005Metric",92.712000,11.842000,180.000000,top
"R2","5.1K","R_0402_1005Metric",92.710000,8.794000,180.000000,top
"R3","4.7k","R_0402_1005Metric",35.814000,24.386000,90.000000,top
"R4","4.7k","R_0402_1005Metric",35.814000,26.924000,90.000000,top
"R5","4.7k","R_0402_1005Metric",35.814000,18.542000,90.000000,top
"R6","4.7k","R_0402_1005Metric",35.801710,21.202144,90.000000,top
"R7","470","R_0402_1005Metric",83.568000,75.438000,0.000000,top
"R8","22","R_0603_1608Metric",41.593000,67.310000,180.000000,top
"R9","470","R_0402_1005Metric",90.701000,98.298000,0.000000,top
"R10","470","R_0402_1005Metric",92.710000,77.470000,0.000000,top
"R11","22","R_0603_1608Metric",41.593000,74.676000,180.000000,top
"R12","4.7k","R_0402_1005Metric",24.130000,39.624000,0.000000,top
"R13","4.7k","R_0402_1005Metric",26.668000,39.624000,0.000000,top
"R15","4.7k","R_0402_1005Metric",36.068000,82.298000,90.000000,top
"R16","4.7k","R_0402_1005Metric",36.068000,84.834000,90.000000,top
"U1","RNBD451PE-I100","MOD39_15p5X20p7X2p8_ZSX_MCH",91.500000,88.000000,-90.000000,top
"U2","VNLD5160TR-E","SO_160TR-E_STM",31.496000,25.781000,180.000000,top
"U3","VNLD5160TR-E","SO_160TR-E_STM",31.496000,20.066000,180.000000,top
"U4","VNLD5160TR-E","SO_160TR-E_STM",25.527000,43.942000,90.000000,top
"U5","TLE9201SGAUMA1","TLE9201SGAUMA1_INF",31.028000,57.626400,90.000000,top
"U6","VNLD5160TR-E","SO_160TR-E_STM",31.680150,83.693000,180.000000,top
